Date,Open,High,Low,Close,Adj Close,Volume
2020-06-02,11109.26953125,11170.490234375,11102.9697265625,11127.9296875,11127.9296875,2754300
2020-06-03,11182.51953125,11330.51953125,11182.51953125,11320.16015625,11320.16015625,3776100
2020-06-04,11373.9404296875,11425.419921875,11341.580078125,11393.23046875,11393.23046875,3539700
2020-06-05,11418.009765625,11482.3603515625,11411.9404296875,11479.400390625,11479.400390625,3400800
2020-06-08,11539.0,11631.8896484375,11528.4404296875,11610.3203125,11610.3203125,3822500
2020-06-09,11600.6103515625,11640.4501953125,11537.3798828125,11637.1103515625,11637.1103515625,3023600
2020-06-10,11635.990234375,11740.900390625,11621.01953125,11720.16015625,11720.16015625,3477600
2020-06-11,11738.490234375,11771.1201171875,11516.58984375,11535.76953125,11535.76953125,4457500
2020-06-12,11406.5400390625,11442.2998046875,11244.6396484375,11429.9404296875,11429.9404296875,3367500
2020-06-15,11436.2802734375,11469.83984375,11299.4501953125,11306.259765625,11306.259765625,3034000
2020-06-16,11380.669921875,11542.25,11380.669921875,11511.6396484375,11511.6396484375,2915500
2020-06-17,11525.5,11550.3203125,11482.3203125,11534.58984375,11534.58984375,3138800
2020-06-18,11534.2001953125,11567.419921875,11485.3896484375,11548.330078125,11548.330078125,3404900
2020-06-19,11557.26953125,11584.8798828125,11542.3701171875,11549.8603515625,11549.8603515625,4580400
2020-06-22,11553.91015625,11632.8798828125,11553.91015625,11572.9296875,11572.9296875,2950700
2020-06-23,11618.419921875,11679.400390625,11530.849609375,11612.3603515625,11612.3603515625,3057500
2020-06-24,11647.8603515625,11701.23046875,11637.7900390625,11660.669921875,11660.669921875,2861900
2020-06-29,11608.7998046875,11608.7998046875,11500.650390625,11542.6201171875,11542.6201171875,2922300
2020-06-30,11563.599609375,11638.0,11563.599609375,11621.240234375,11621.240234375,2935300
2020-07-01,11622.6396484375,11736.3896484375,11622.6396484375,11703.419921875,11703.419921875,2868400
2020-07-02,11694.099609375,11805.2099609375,11690.9501953125,11805.1396484375,11805.1396484375,3060100
2020-07-03,11857.900390625,11933.58984375,11857.900390625,11909.16015625,11909.16015625,3536100
2020-07-06,11941.83984375,12116.7001953125,11941.83984375,12116.7001953125,12116.7001953125,4451500
2020-07-07,12176.7900390625,12249.9501953125,12028.5703125,12092.9697265625,12092.9697265625,4263000
2020-07-08,12086.1298828125,12190.26953125,12083.83984375,12170.1904296875,12170.1904296875,3598500
2020-07-09,12222.900390625,12273.4296875,12181.33984375,12192.6904296875,12192.6904296875,3882900
2020-07-10,12250.4404296875,12253.580078125,12030.2001953125,12073.6796875,12073.6796875,4166700
2020-07-13,12109.6103515625,12216.240234375,12109.6103515625,12211.5595703125,12211.5595703125,3558300
2020-07-14,12202.8896484375,12228.3095703125,12143.91015625,12209.009765625,12209.009765625,3333000
2020-07-15,12233.990234375,12320.48046875,12162.51953125,12202.849609375,12202.849609375,3905800
2020-07-16,12173.0400390625,12220.9296875,12107.0400390625,12157.740234375,12157.740234375,3196600
2020-07-17,12195.7197265625,12266.9296875,12144.6201171875,12181.5595703125,12181.5595703125,3396200
2020-07-20,12205.25,12221.330078125,12065.7998046875,12174.5400390625,12174.5400390625,2819300
2020-07-21,12242.3203125,12450.16015625,12242.3203125,12397.5498046875,12397.5498046875,3529000
2020-07-22,12389.759765625,12486.9501953125,12389.400390625,12473.26953125,12473.26953125,3424000
2020-07-23,12423.01953125,12429.759765625,12347.8603515625,12413.0400390625,12413.0400390625,3426700
2020-07-24,12467.4296875,12502.83984375,12266.5498046875,12304.0400390625,12304.0400390625,3996200
2020-07-27,12618.6904296875,12686.3603515625,12586.91015625,12588.2998046875,12588.2998046875,3687300
2020-07-28,12951.7197265625,13031.7001953125,12533.1904296875,12586.73046875,12586.73046875,4457700
2020-07-29,12530.740234375,12660.8701171875,12488.009765625,12540.9697265625,12540.9697265625,3067000
2020-07-30,12691.8603515625,12769.4697265625,12616.830078125,12722.919921875,12722.919921875,3244900
2020-07-31,12653.4599609375,12733.48046875,12635.7099609375,12664.7998046875,12664.7998046875,3171700
2020-08-03,12642.73046875,12673.01953125,12506.58984375,12513.0302734375,12513.0302734375,3391600
2020-08-04,12577.8798828125,12709.919921875,12577.8798828125,12709.919921875,12709.919921875,3465700
2020-08-05,12762.33984375,12816.3896484375,12739.990234375,12802.2998046875,12802.2998046875,3917200
2020-08-06,12894.240234375,12971.8701171875,12851.2001953125,12913.5,12913.5,4098100
2020-08-07,12901.4296875,12912.6298828125,12791.1796875,12828.8701171875,12828.8701171875,3831300
2020-08-10,12786.7998046875,12933.16015625,12786.7998046875,12894.0,12894.0,3952000
2020-08-11,12856.4599609375,12906.009765625,12780.1904296875,12780.1904296875,12780.1904296875,3726400
2020-08-12,12713.6298828125,12730.9599609375,12625.5400390625,12670.349609375,12670.349609375,3440300
2020-08-13,12758.8701171875,12812.7998046875,12717.1298828125,12763.1298828125,12763.1298828125,3631900
2020-08-14,12709.9697265625,12801.3095703125,12679.1904296875,12795.4599609375,12795.4599609375,3896200
