"Date","Open","High","Low","Close","Change","Change%","Volume('000 shares)"
"2022/08/29","24.2","24.2","23.9","24","-0.25","-1.03","82"
"2022/08/26","24.2","24.45","24.15","24.25","0.05000000000000071","0.21","44"
"2022/08/25","24.05","24.5","24.05","24.2","0.1999999999999993","0.83","60"
"2022/08/24","24.2","24.2","23.9","24","-0.05000000000000071","-0.21","69"
"2022/08/23","24.25","24.25","24.05","24.05","-0.1999999999999993","-0.82","56"
"2022/08/22","24.3","24.5","24.25","24.25","0.14999999999999858","0.62","51"
"2022/08/19","24.25","24.3","24","24.1","-0.09999999999999787","-0.41","114"
"2022/08/18","24.1","24.3","24.1","24.2","0.09999999999999787","0.41","73"
"2022/08/17","23.85","24.1","23.85","24.1","0.3000000000000007","1.26","49"
"2022/08/16","23.75","24","23.7","23.8","0.05000000000000071","0.21","95"
"2022/08/15","23.65","23.8","23.6","23.75","-0.10000000000000142","-0.42","71"
"2022/08/12","23.5","23.9","23.5","23.85","0.25","1.06","63"
"2022/08/11","23.85","23.85","23.2","23.6","-0.3999999999999986","-1.67","438"
"2022/08/10","24.05","24.1","23.9","24","-0.05000000000000071","-0.21","95"
"2022/08/09","24.05","24.1","23.95","24.05","0","0.00","84"
"2022/08/08","23.65","24.05","23.55","24.05","-0.5","-2.04","256"
"2022/08/05","24.35","24.6","24.35","24.55","0.40000000000000213","1.66","94"
"2022/08/04","24.25","24.25","23.9","24.15","-0.05000000000000071","-0.21","155"
"2022/08/03","24.5","24.5","24.05","24.2","-0.3000000000000007","-1.22","157"
"2022/08/02","24.8","24.8","24.25","24.5","-0.5","-2.00","171"
"2022/08/01","24.95","25.1","24.8","25","0.14999999999999858","0.60","86"
"2022/07/29","24.9","25.3","24.85","24.85","0.15000000000000213","0.61","171"
"2022/07/28","24.6","24.7","24.5","24.7","0.14999999999999858","0.61","178"
"2022/07/27","24.5","24.8","24.5","24.55","0","0.00","80"
"2022/07/26","24.65","24.65","24.4","24.55","0","0.00","82"
"2022/07/25","24.4","24.6","24.35","24.55","0.1999999999999993","0.82","102"
"2022/07/22","24.4","24.5","24.25","24.35","-0.04999999999999716","-0.20","76"
"2022/07/21","24.55","24.55","24.15","24.4","-0.15000000000000213","-0.61","88"
"2022/07/20","24.65","24.9","24.45","24.55","0","0.00","163"
"2022/07/19","24.5","24.75","24.4","24.55","0.05000000000000071","0.20","69"
"2022/07/18","24.45","24.85","24.3","24.5","0.25","1.03","227"
"2022/07/15","24.15","24.5","24.15","24.25","0.10000000000000142","0.41","165"
"2022/07/14","23.55","24.4","23.55","24.15","0.5999999999999979","2.55","188"
"2022/07/13","23.55","23.95","23.55","23.55","0.15000000000000213","0.64","209"
"2022/07/12","23.8","23.8","23.35","23.4","-0.5","-2.09","156"
"2022/07/11","24.4","24.4","23.8","23.9","-0.3500000000000014","-1.44","281"
"2022/07/08","24.85","25.15","24.15","24.25","-0.3000000000000007","-1.22","378"
"2022/07/07","25.25","25.55","24.2","24.55","-0.4499999999999993","-1.80","691"
"2022/07/06","25.25","27.1","25","25","-0.5","-1.96","2032"
"2022/07/05","25.5","25.5","24.7","25.5","2.3000000000000007","9.91","1218"
"2022/07/04","23.65","23.65","23.15","23.2","-1","-4.13","106"
"2022/07/01","25.05","25.05","24.2","24.2","-0.8500000000000014","-3.39","283"
"2022/06/30","25.5","25.5","25","25.05","-1","-3.84","282"
"2022/06/29","25.6","26.3","25.6","26.05","0.1999999999999993","0.77","112"
"2022/06/28","26","26.15","25.85","25.85","-0.3999999999999986","-1.52","71"
"2022/06/27","25.65","26.25","25.65","26.25","0.8000000000000007","3.14","91"
"2022/06/24","25.65","25.65","25.45","25.45","0.25","0.99","61"
"2022/06/23","25.7","25.95","25.2","25.2","-0.25","-0.98","150"
"2022/06/22","26.2","26.25","25.2","25.45","-0.6500000000000021","-2.49","86"
"2022/06/21","25.85","26.2","25.85","26.1","0.5","1.95","51"
"2022/06/20","26.3","26.7","25.55","25.6","-0.6499999999999986","-2.48","105"
"2022/06/17","26.7","26.7","26.05","26.25","-0.5500000000000007","-2.05","141"
"2022/06/16","27.35","27.35","26.8","26.8","-0.09999999999999787","-0.37","100"
"2022/06/15","26.8","27.6","26.8","26.9","0.09999999999999787","0.37","193"
"2022/06/14","27.1","27.15","26.8","26.8","-0.34999999999999787","-1.29","140"
"2022/06/13","27.05","27.25","26.6","27.15","-0.25","-0.91","280"
"2022/06/10","27.6","27.6","27.05","27.4","-0.3000000000000007","-1.08","226"
"2022/06/09","27.6","27.8","27.4","27.7","0.14999999999999858","0.54","245"
"2022/06/08","27.45","28.35","27.45","27.55","0.15000000000000213","0.55","478"
"2022/06/07","29","29","27.3","27.4","-0.8000000000000007","-2.84","2486"
"2022/06/06","27.1","28.2","26.95","28.2","2.5500000000000007","9.94","2237"
"2022/06/02","25.45","25.8","25.45","25.65","0.25","0.98","64"
"2022/06/01","25.2","25.5","25","25.4","0","0.00","50"
"2022/05/31","25.5","25.55","25.35","25.4","-0.10000000000000142","-0.39","22"
"2022/05/30","25.2","25.5","25.1","25.5","0.3999999999999986","1.59","52"
"2022/05/27","25","25.25","25","25.1","0.10000000000000142","0.40","37"
"2022/05/26","25.1","25.2","25","25","-0.10000000000000142","-0.40","40"
"2022/05/25","24.9","25.1","24.85","25.1","0.10000000000000142","0.40","24"
"2022/05/24","25.1","25.1","25","25","-0.10000000000000142","-0.40","35"
"2022/05/23","25","25.15","25","25.1","0.10000000000000142","0.40","38"
"2022/05/20","25.1","25.1","24.9","25","0.10000000000000142","0.40","21"
"2022/05/19","24.75","25.05","24.75","24.9","-0.25","-0.99","40"
"2022/05/18","25.15","25.15","25.05","25.15","0.14999999999999858","0.60","24"
"2022/05/17","24.95","25","24.8","25","0.05000000000000071","0.20","91"
"2022/05/16","25.25","25.25","24.85","24.95","0.14999999999999858","0.60","14"
"2022/05/13","24.95","24.95","24.75","24.8","0","0.00","59"
"2022/05/12","24.9","25.1","24.7","24.8","-0.3999999999999986","-1.59","40"
"2022/05/11","24.65","25.2","24.65","25.2","0.09999999999999787","0.40","53"
"2022/05/10","25.1","25.2","25.05","25.1","-0.09999999999999787","-0.40","39"
"2022/05/09","25.6","25.6","24.9","25.2","-0.4499999999999993","-1.75","87"
"2022/05/06","25.5","25.65","25.2","25.65","0","0.00","29"
"2022/05/05","25.8","25.8","25.6","25.65","0.04999999999999716","0.20","32"
"2022/05/04","25.5","25.65","25.5","25.6","0.05000000000000071","0.20","22"
"2022/05/03","25.6","25.8","25.2","25.55","-0.14999999999999858","-0.58","28"
"2022/04/29","25.8","25.9","25.65","25.7","0","0.00","17"
"2022/04/28","26","26","25.55","25.7","-0.15000000000000213","-0.58","76"
"2022/04/27","25.8","26.05","25.5","25.85","-0.09999999999999787","-0.39","58"
"2022/04/26","26.55","26.55","25.95","25.95","-0.05000000000000071","-0.19","31"
"2022/04/25","26.1","26.1","25.9","26","-0.3999999999999986","-1.52","70"
