Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-07-07,36.68022264836867,37.32809452245885,36.46722205286592,36.64472198486328,24585500,0.0,0.0
2016-07-08,37.09734952582805,37.514473924876626,36.94647676010504,37.25709915161133,29468600,0.0,0.0
2016-07-11,37.620967207932566,37.94046641415759,37.53221893310547,37.53221893310547,19752600,0.0,0.0
2016-07-12,38.00259814400328,38.58834567214578,37.94934713761567,38.5528450012207,23803600,0.0,0.0
2016-07-13,38.45521545410156,38.76583779802418,38.18009038839179,38.45521545410156,20488200,0.0,0.0
2016-07-14,39.38708665059194,39.73320966510437,39.15633571723052,39.44921112060547,37093600,0.0,0.0
2016-07-15,39.44922248491975,39.96396872553563,38.91672252143738,39.34272384643555,29198800,0.0,0.0
2016-07-18,39.29833888909473,39.84858908600174,39.26284160665721,39.55571365356445,18683900,0.0,0.0
2016-07-19,39.218466707560246,39.66221493030692,39.103094607227895,39.36046600341797,15297300,0.0,0.0
2016-07-20,39.52021615707134,39.671092315276155,39.22734408666128,39.46696853637695,16547100,0.0,0.0
2016-07-21,39.49358723731817,39.67108718290647,39.147464205462406,39.16521453857422,14924900,0.0,0.0
2016-07-22,39.138585876506426,39.369336812765596,38.898964852319224,39.31608581542969,12764200,0.0,0.0
2016-07-25,39.32497068042492,39.369344827807254,38.96997073030543,39.08534622192383,14391400,0.0,0.0
2016-07-26,38.98771404897545,39.26283913007489,38.96109024244415,39.18296432495117,16152500,0.0,0.0
2016-07-27,39.22733802535999,39.679959658975974,39.16521355379564,39.307212829589844,17814200,0.0,0.0
2016-07-28,39.19142129314078,39.342841062645284,38.90639304646959,39.26268005371094,13239600,0.16,0.0
2016-07-29,39.075630771082274,39.33393870302495,38.977651666014026,39.02219009399414,13773700,0.0,0.0
2016-08-01,39.12015402136032,39.20922745269368,38.51447167731339,38.67479705810547,14794400,0.0,0.0
2016-08-02,38.50557477431779,38.86186181636421,37.85535381071737,38.291805267333984,20089100,0.0,0.0
2016-08-03,38.23834883294726,39.13796839653766,38.17599913041149,39.09343338012695,14708300,0.0,0.0
2016-08-04,38.95983056631602,39.22704407791625,38.88857181772708,39.04890060424805,11747900,0.0,0.0
2016-08-05,39.75257492664026,40.73235916852164,39.64568677829305,40.723453521728516,28566800,0.0,0.0
2016-08-08,40.821427330087396,41.115361205400475,40.50967536788953,40.937217712402344,16861600,0.0,0.0
2016-08-09,40.92831264283345,41.07082675967695,40.6789103900039,40.8837776184082,12203800,0.0,0.0
2016-08-10,40.794708348010175,40.88378180378389,40.429515673850226,40.48295974731445,16566700,0.0,0.0
2016-08-11,40.53639123526925,40.892678182000694,40.34043647259069,40.73234939575195,14819400,0.0,0.0
2016-08-12,40.44732790142531,40.616562360380215,40.278093442470414,40.598751068115234,12472900,0.0,0.0
2016-08-15,40.81252178664845,41.41820767610185,40.81252178664845,41.320228576660156,12252700,0.0,0.0
2016-08-16,41.19552222282137,41.67650859505813,41.09754313983192,41.52508544921875,15202100,0.0,0.0
2016-08-17,41.42710845095247,41.68541633768625,41.311318072323736,41.53399658203125,17899300,0.0,0.0
2016-08-18,41.480551155381065,41.59634492801464,41.15989356827534,41.4182014465332,14190300,0.0,0.0
2016-08-19,41.275700353004815,41.498378925604584,40.99067205190155,41.4449348449707,12207600,0.0,0.0
2016-08-22,41.34694566368866,41.64088293890949,41.19552590212972,41.56071853637695,11007500,0.0,0.0
2016-08-23,41.77448988551298,41.91700399617272,41.49836730957031,41.49836730957031,13345500,0.0,0.0
2016-08-24,41.53399820146762,41.970446194741264,41.45383379893508,41.56071853637695,16054400,0.0,0.0
2016-08-25,41.42711370555428,41.70323631582448,41.39148772181363,41.614166259765625,16520200,0.0,0.0
2016-08-26,41.71214895486065,42.07734165266198,41.596355153761166,41.9615478515625,23338500,0.0,0.0
2016-08-29,42.03280408314237,42.478161206540896,41.96154871025732,42.09515380859375,16700000,0.0,0.0
2016-08-30,42.09514702888522,42.691927244982445,42.059521047083095,42.66520690917969,17519800,0.0,0.0
2016-08-31,42.71864843015733,42.91460662408617,42.08624221968389,42.5226936340332,20826600,0.0,0.0
2016-09-01,42.59394316981224,42.780992294170744,41.64978510745309,42.1842155456543,19403900,0.0,0.0
2016-09-02,42.308919671433394,42.49596881661293,41.87246826820983,42.31782531738281,16293000,0.0,0.0
2016-09-06,42.317826745986366,42.44252957812053,41.551815449705025,42.12187194824219,17649500,0.0,0.0
2016-09-07,41.86356479606434,42.433621304957725,41.738865359469514,42.291107177734375,13610600,0.0,0.0
2016-09-08,42.27329292291572,42.81662910037017,42.14859348503533,42.567230224609375,15856400,0.0,0.0
2016-09-09,42.66520069222489,42.90569047501606,42.014976501464844,42.014976501464844,20468100,0.0,0.0
2016-09-12,41.54290758864068,42.63848559005324,41.26678837556405,42.567230224609375,22074800,0.0,0.0
2016-09-13,41.77449751336717,42.12187550916732,41.516189578816544,41.79230880737305,19885000,0.0,0.0
2016-09-14,41.76559148267918,42.25548365051587,41.578542301873306,41.640892028808594,19778400,0.0,0.0
2016-09-15,41.64088479420244,42.1485915669277,41.49837067199543,41.93482208251953,14133200,0.0,0.0
2016-09-16,41.507273846422656,41.676511692456444,41.186619638904695,41.33803939819336,24820800,0.0,0.0
2016-09-19,41.52508764350513,42.07733279539047,41.427108555338236,41.49836730957031,12759700,0.0,0.0
2016-09-20,41.899191578365006,42.032796653084326,41.37367012973798,41.453834533691406,13749400,0.0,0.0
2016-09-21,41.86356422526592,42.11296309505508,41.23115800669781,41.77449417114258,16605200,0.0,0.0
2016-09-22,41.854663095519584,42.13078233178087,41.64089018562862,41.9615478515625,16247600,0.0,0.0
2016-09-23,41.88138332323319,42.273296359547345,41.721054490694414,41.99717712402344,14793500,0.0,0.0
2016-09-26,41.42711596788367,41.53400411835726,40.82143343755847,40.874874114990234,22646700,0.0,0.0
2016-09-27,40.54530078697682,41.400385392507125,40.22464321045191,41.302406311035156,16165700,0.0,0.0
2016-09-28,41.48946768970312,41.78340159908737,41.061921897827084,41.747772216796875,15871600,0.0,0.0
2016-09-29,41.68542242076347,42.21985296073263,40.44733026976587,40.794708251953125,28066800,0.0,0.0
2016-09-30,41.26678361756264,42.30891742638212,41.02629041603404,42.068424224853516,25563100,0.0,0.0
2016-10-03,41.881376031568934,42.09514550586602,41.66760315946731,41.890281677246094,13819800,0.0,0.0
2016-10-04,41.95263162881431,43.137282981075884,41.93482033735877,42.53159713745117,25542000,0.0,0.0
2016-10-05,42.76318065475525,43.53810433571556,42.76318065475525,43.3332405090332,18173400,0.0,0.0
2016-10-06,43.49358214920129,43.72516637881864,43.08385097710058,43.70735168457031,15721000,0.0,0.0
2016-10-07,43.64499503655855,44.01018771625837,43.35996676936868,43.89439392089844,16584000,0.0,0.0
2016-10-10,44.05471185852205,44.500068840669186,43.9745474658234,44.1348762512207,14022700,0.0,0.0
2016-10-11,43.89439001843908,44.22395668379355,43.368868560441165,43.636085510253906,16033300,0.0,0.0
2016-10-12,43.61827031296016,43.84094883667704,43.342147720341565,43.377777099609375,14407300,0.0,0.0
2016-10-13,42.68302467763553,43.35996940166106,42.34455571342793,43.17292022705078,22302200,0.0,0.0
2016-10-14,44.179427935178474,44.49117997896263,43.1016644473029,43.29762268066406,28291800,0.0,0.0
2016-10-17,43.27980590031242,43.76969806229119,43.11947706216587,43.28871154785156,16655000,0.0,0.0
2016-10-18,43.80531996703794,43.90329906226199,43.47575669948813,43.636085510253906,18159900,0.0,0.0
2016-10-19,43.742973178900726,44.27740031868228,43.67171441476725,44.07253646850586,14663600,0.0,0.0
2016-10-20,44.054721504121204,44.446637908813805,43.83204296429309,44.1616096496582,13522600,0.0,0.0
2016-10-21,43.70733768203574,44.20613876777155,43.62717328250328,44.15269470214844,12728600,0.0,0.0
2016-10-24,44.37537914512247,44.42882321789097,44.108165576889704,44.1616096496582,10753500,0.0,0.0
2016-10-25,44.08144690759344,44.366475177535435,43.91220903632444,44.17051696777344,9790500,0.0,0.0
2016-10-26,43.88547880366579,44.589143672980576,43.83203474092398,44.54460525512695,13960000,0.0,0.0
2016-10-27,44.820747665542086,45.07014660651258,44.44664925408633,44.47336959838867,19181400,0.0,0.0
2016-10-28,44.51789332985612,44.64259276866559,43.60045883192518,44.143795013427734,17780300,0.0,0.0
2016-10-31,44.30412023324552,44.411004972422866,43.769689741749595,43.77859878540039,15173400,0.0,0.0
2016-11-01,44.00128385819623,44.24177370769758,43.1105696375672,43.591552734375,20691100,0.0,0.0
2016-11-02,43.31543205224854,43.40450211221119,42.896795295253106,43.235267639160156,15824100,0.0,0.0
2016-11-03,43.3693238509498,43.780410090560146,42.91355869689317,43.06547927856445,16224300,0.16,0.0
2016-11-04,42.9939785652822,43.61060267233775,42.62757814067666,43.0475959777832,14152500,0.0,0.0
2016-11-07,44.02167836498975,44.54000266315833,43.976996058709354,44.52212905883789,19357600,0.0,0.0
2016-11-08,44.16466713428263,44.70980017568398,43.825078853607785,44.602561950683594,17548300,0.0,0.0
2016-11-09,44.745556360668374,46.416699622322696,44.2093617190919,46.103919982910156,59210400,0.0,0.0
2016-11-10,46.51499285007047,48.43636282259279,46.23796048824748,47.90910339355469,52067300,0.0,0.0
2016-11-11,47.14949968522748,47.50696504569966,46.11285423070898,47.212059020996094,41858600,0.0,0.0
2016-11-14,47.39971676693919,49.05298603879056,47.36396955665098,48.865318298339844,43113100,0.0,0.0
2016-11-15,48.24869379769528,49.57130988426914,47.99846673712507,49.553436279296875,33433800,0.0,0.0
2016-11-16,48.445305424226056,49.151297608038924,48.445305424226056,48.82064437866211,24200100,0.0,0.0
2016-11-17,48.793823408662455,50.02707487941653,48.57934696707836,49.553436279296875,24579000,0.0,0.0
2016-11-18,49.490883100193706,49.901965810138606,49.13341779908576,49.562374114990234,24990000,0.0,0.0
2016-11-21,50.00920467394994,50.036016787751755,49.276403865480674,49.63386917114258,20410400,0.0,0.0
2016-11-22,49.741110174486515,50.17900502790221,49.53556880542755,50.13431930541992,21975900,0.0,0.0
2016-11-23,50.3130409468421,50.78668291087265,49.87514959839119,50.66156768798828,19906300,0.0,0.0
2016-11-25,50.58114154873217,50.75987418429435,50.21474117989837,50.742000579833984,11488200,0.0,0.0
2016-11-28,49.91983873956752,50.35773014799644,49.535564739248905,49.571311950683594,23645000,0.0,0.0
2016-11-29,49.59812752095867,49.991336674049826,49.43726845627543,49.61600112915039,15725400,0.0,0.0
2016-11-30,50.250496757796974,50.688391617401514,50.09857620814444,50.39348220825195,24395100,0.0,0.0
2016-12-01,50.73307118840429,51.447998402024055,50.52752982755373,51.179901123046875,27592500,0.0,0.0
2016-12-02,51.1173392297869,51.15308643854984,49.982390919374424,50.06282043457031,25110300,0.0,0.0
2016-12-05,50.590088450645105,51.41225393800714,50.56327974402653,51.188838958740234,24404500,0.0,0.0
2016-12-06,51.81439351901272,51.903761542237035,50.938607345663485,51.760772705078125,21487500,0.0,0.0
2016-12-07,51.73396865277901,52.8689170819322,51.73396865277901,52.7795524597168,30517600,0.0,0.0
2016-12-08,53.08340189438931,54.33452376719772,52.77061886940561,53.75364685058594,32536000,0.0,0.0
2016-12-09,53.583843862913284,53.81619733330226,52.92253748205004,53.655338287353516,22804900,0.0,0.0
2016-12-12,53.12807694052233,53.70001867944197,52.609752608975356,53.21744155883789,21879400,0.0,0.0
2016-12-13,53.288941278350364,53.592785783487805,52.51145470373745,53.43192672729492,22014500,0.0,0.0
2016-12-14,52.69018363671744,54.33451788768212,52.57401031139143,53.12807846069336,31399400,0.0,0.0
2016-12-15,53.70896515109306,54.17366876463154,53.226391337340594,53.82514190673828,22389300,0.0,0.0
2016-12-16,54.1468536540297,54.164727261173056,53.297876064451295,53.39617919921875,28405900,0.0,0.0
2016-12-19,53.163825769803694,53.42298453442446,52.654436520965504,53.31574630737305,17654400,0.0,0.0
2016-12-20,53.548096806692485,54.334518432617195,53.548096806692485,54.33451843261719,23439800,0.0,0.0
2016-12-21,54.24514694891822,54.43281467631819,53.753634773281505,54.28982925415039,15090200,0.0,0.0
2016-12-22,54.20940803062179,54.450696606622174,53.98599306125572,54.05748748779297,14571100,0.0,0.0
2016-12-23,54.09323588260996,54.51325715155643,53.959188935039634,54.50432205200195,9314000,0.0,0.0
2016-12-27,54.54006051624874,54.78134908908812,54.37920146768916,54.59368133544922,9544000,0.0,0.0
2016-12-28,54.51325092638562,54.69198357844443,53.60171746902334,53.655338287353516,17127400,0.0,0.0
2016-12-29,53.63746298146419,53.726827600140716,52.43995868237363,53.065521240234375,17121200,0.0,0.0
2016-12-30,53.172762522483474,53.440859802973335,52.89572673418689,53.110206604003906,16588500,0.0,0.0
