Date	Open	High	Low	Close	Volume('000 shares)	Date
2014/01/08	21.4	21.75	21.3	21.3	1886.214	2014/1/8
2014/01/09	21.5	21.5	21.05	21.1	1626.142	2014/1/9
2014/01/10	21.2	21.7	21.15	21.4	1978.187	2014/1/10
2014/01/13	21.65	21.65	21.35	21.4	1253.554	2014/1/13
2014/01/14	21.4	21.85	21.4	21.75	2602.78	2014/1/14
2014/01/15	21.9	21.95	21.5	21.75	1883.291	2014/1/15
2014/01/16	21.75	21.75	21.55	21.55	1258.324	2014/1/16
2014/01/17	21.65	22.1	21.6	21.9	2857.556	2014/1/17
2014/01/20	22.15	22.35	22.05	22.2	4611.442	2014/1/20
2014/01/21	22.3	22.65	22.2	22.55	6581.954	2014/1/21
2014/01/22	22.7	22.95	22.4	22.55	4823.199	2014/1/22
2014/01/23	22.6	22.75	22.4	22.55	2551.057	2014/1/23
2014/01/24	22.45	22.55	22.4	22.45	1523.036	2014/1/24
2014/01/27	22.35	22.4	22.1	22.35	2169.412	2014/1/27
2014/02/05	22	22.2	21.9	22	2136.725	2014/2/5
2014/02/06	22	23.5	22	23.5	8479.281	2014/2/6
2014/02/07	23.9	24.5	23.7	23.85	16410.155	2014/2/7
2014/02/10	24.1	24.75	23.9	23.95	10794.391	2014/2/10
2014/02/11	23.95	24.15	23.65	24.1	4262.63	2014/2/11
2014/02/12	24.1	24.8	23.85	24.4	7620.058	2014/2/12
2014/02/13	24.4	24.8	24.1	24.55	6128.325	2014/2/13
2014/02/14	24.65	24.75	24.35	24.5	4685.183	2014/2/14
2014/02/17	24.5	24.5	23.9	24.15	4524.235	2014/2/17
2014/02/18	24.4	25.35	24.3	25.25	9768.511	2014/2/18
2014/02/19	25.3	25.45	25	25	6444.163	2014/2/19
2014/02/20	25.25	25.25	24.5	24.5	5651.606	2014/2/20
2014/02/21	24.6	25.3	24.55	24.85	6458.771	2014/2/21
2014/02/24	25	25.15	24.35	24.45	5312.825	2014/2/24
2014/02/25	24.5	24.65	24.4	24.55	2771.622	2014/2/25
2014/02/26	24.4	24.5	24.05	24.1	4720.24	2014/2/26
2014/02/27	24.1	24.35	23.9	23.95	3706.229	2014/2/27
2014/03/03	24	24.65	23.8	24.5	4647.339	2014/3/3
2014/03/04	24.8	25.75	24.75	24.9	13901.51	2014/3/4
2014/03/05	25	25.05	24.5	24.5	5529.577	2014/3/5
2014/03/06	24.5	24.6	24.15	24.2	4182	2014/3/6
2014/03/07	24.35	24.35	23.4	23.5	7816.689	2014/3/7
2014/03/10	23.5	23.5	22.95	23.05	3935.113	2014/3/10
2014/03/11	23.2	23.65	23.05	23.65	4053.343	2014/3/11
2014/03/12	23.85	24.15	23.7	23.95	3912.369	2014/3/12
2014/03/13	24.2	24.25	23.65	23.7	2548.078	2014/3/13
2014/03/14	23.5	23.6	23.2	23.25	2810.711	2014/3/14
2014/03/17	23.3	23.55	23.2	23.35	1679.064	2014/3/17
2014/03/18	23.6	24	23.5	23.85	2925.819	2014/3/18
2014/03/19	23.95	24	23.75	23.9	2326.438	2014/3/19
2014/03/20	23.8	23.85	23.4	23.65	1953.554	2014/3/20
2014/03/21	23.7	24.85	23.5	24.5	8146.627	2014/3/21
2014/03/24	24.5	24.85	23.8	24.25	6293.517	2014/3/24
2014/03/25	24.45	24.75	24.25	24.55	3296.043	2014/3/25
2014/03/26	24.75	25.15	24.25	24.25	6382.266	2014/3/26
2014/03/27	24.25	24.25	23.7	23.8	4800.847	2014/3/27
2014/03/28	23.8	24	23.6	23.6	2236.712	2014/3/28
2014/03/31	23.6	23.95	23.6	23.95	1276.663	2014/3/31
2014/04/01	24	24	23.7	23.75	1449.359	2014/4/1
2014/04/02	23.8	24	23.75	23.75	1748.237	2014/4/2
2014/04/03	23.8	23.85	23.65	23.65	1345.953	2014/4/3
2014/04/07	23.5	23.9	23.5	23.8	1103.114	2014/4/7
2014/04/08	23.85	24.4	23.85	24.25	2895.315	2014/4/8
2014/04/09	24.4	24.45	24	24.2	2624.056	2014/4/9
